target_task,prior_history,prior_tasks,seed,prior_history_valid,strategy,source_task,compatibility_score,solve_accuracy,adaptation_steps,fixed_budget,target_attempted,acquisition_success,heldout_accuracy,heldout_mse,addition_prior_steps,addition_prior_success,multiplication_prior_steps,multiplication_prior_success
squares,addition+multiplication,addition+multiplication,11,True,scratch,,2.3461211779349764e-07,0.109375,1500.0,1500,True,False,0.8066666666666666,0.21819748433981143,351.0,True,1394.0,True
squares,addition+multiplication,addition+multiplication,12,True,scratch,,5.50969755449749e-05,0.15625,1500.0,1500,True,False,0.7566666666666667,0.22353862185635345,263.0,True,1369.0,True
squares,addition+multiplication,addition+multiplication,13,True,scratch,,3.144072385638531e-05,0.09375,1500.0,1500,True,False,0.6333333333333333,0.28642481512188994,278.0,True,1033.0,True
squares,addition+multiplication,addition+multiplication,14,True,scratch,,0.00020181574708150887,0.1875,1500.0,1500,True,False,0.77,0.2606985647563956,267.0,True,1235.0,True
powers,none,none,0,True,scratch,,0.0,0.0,537.0,1500,True,True,0.86,0.09851043668641428,,,,
powers,none,none,1,True,scratch,,0.0,0.0,481.0,1500,True,True,0.8666666666666667,0.2590087790747783,,,,
powers,none,none,2,True,scratch,,0.0,0.0,419.0,1500,True,True,0.87,0.27438414468266814,,,,
powers,none,none,3,True,scratch,,0.0,0.0,398.0,1500,True,True,0.8166666666666667,0.4907220273308912,,,,
powers,none,none,4,True,scratch,,0.0,0.0,395.0,1500,True,True,0.7933333333333333,0.49134115537192097,,,,
powers,none,none,5,True,scratch,,0.0,0.0,558.0,1500,True,True,0.83,0.11389949609716496,,,,
powers,none,none,6,True,scratch,,0.0,0.0,524.0,1500,True,True,0.8866666666666667,0.1396506306368639,,,,
powers,none,none,7,True,scratch,,0.0,0.0,396.0,1500,True,True,0.8866666666666667,0.3819640510981394,,,,
powers,none,none,8,True,scratch,,0.0,0.0,510.0,1500,True,True,0.8866666666666667,0.15653686585686488,,,,
powers,none,none,9,True,scratch,,0.0,0.0,545.0,1500,True,True,0.84,0.16114406125390535,,,,
powers,none,none,10,True,scratch,,0.0,0.0,405.0,1500,True,True,0.8833333333333333,0.23186311543615593,,,,
powers,none,none,11,True,scratch,,0.0,0.0,404.0,1500,True,True,0.8466666666666667,0.5040831362120333,,,,
powers,none,none,12,True,scratch,,0.0,0.0,454.0,1500,True,True,0.86,0.1589259655973657,,,,
powers,none,none,13,True,scratch,,0.0,0.0,505.0,1500,True,True,0.85,0.16594227733072267,,,,
powers,none,none,14,True,scratch,,0.0,0.0,543.0,1500,True,True,0.88,0.10781605343305041,,,,
powers,addition,addition,0,True,clone,addition,0.8657852283477355,0.15625,391.0,1500,True,True,0.9333333333333333,0.13415402981694266,290.0,True,,
powers,addition,addition,1,True,clone,addition,0.8470560543363678,0.171875,343.0,1500,True,True,0.85,0.15970441229791318,267.0,True,,
powers,addition,addition,2,True,clone,addition,0.8582155595942265,0.1875,345.0,1500,True,True,0.8566666666666667,0.26132973737368986,294.0,True,,
powers,addition,addition,3,True,clone,addition,0.803561935429865,0.140625,322.0,1500,True,True,0.8733333333333333,0.27427869553907586,326.0,True,,
powers,addition,addition,4,True,clone,addition,0.8854942175459917,0.09375,345.0,1500,True,True,0.8366666666666667,0.2315575731484025,222.0,True,,
powers,addition,addition,5,True,clone,addition,0.8108843866680604,0.109375,367.0,1500,True,True,0.86,0.14295414187492803,281.0,True,,
powers,addition,addition,6,True,clone,addition,0.8174336837880313,0.078125,418.0,1500,True,True,0.9233333333333333,0.14908565947255623,255.0,True,,
powers,addition,addition,7,True,clone,addition,0.8051283857927967,0.203125,365.0,1500,True,True,0.86,0.1791810132066883,341.0,True,,
powers,addition,addition,8,True,clone,addition,0.8913903942855342,0.1875,396.0,1500,True,True,0.89,0.12128091817049821,274.0,True,,
powers,addition,addition,9,True,clone,addition,0.9137721680083828,0.109375,363.0,1500,True,True,0.94,0.2602244572066947,298.0,True,,
powers,addition,addition,10,True,clone,addition,0.8526424372891093,0.125,341.0,1500,True,True,0.87,0.15520718244495113,301.0,True,,
powers,addition,addition,11,True,clone,addition,0.9112584501449056,0.1875,347.0,1500,True,True,0.87,0.15117039483428646,244.0,True,,
powers,addition,addition,12,True,clone,addition,0.8853228677185,0.125,333.0,1500,True,True,0.89,0.1609005024671379,265.0,True,,
powers,addition,addition,13,True,clone,addition,0.9138213251043655,0.125,322.0,1500,True,True,0.8866666666666667,0.2902897725956794,281.0,True,,
powers,addition,addition,14,True,clone,addition,0.9321904099892288,0.125,330.0,1500,True,True,0.89,0.2306461395699708,291.0,True,,
powers,addition+multiplication,addition+multiplication,0,True,clone,multiplication,0.9188528590711321,0.390625,402.0,1500,True,True,0.8566666666666667,0.10218629021192717,291.0,True,1191.0,True
powers,addition+multiplication,addition+multiplication,1,True,clone,multiplication,0.8835019779934704,0.3125,236.0,1500,True,True,0.8666666666666667,0.17098679167479008,303.0,True,1212.0,True
powers,addition+multiplication,addition+multiplication,2,True,clone,multiplication,0.9188460573467659,0.109375,278.0,1500,True,True,0.8733333333333333,0.10527417670283351,322.0,True,1160.0,True
powers,addition+multiplication,addition+multiplication,3,True,clone,multiplication,0.851856079454833,0.3125,153.0,1500,True,True,0.88,0.32880646291496907,327.0,True,1131.0,True
powers,addition+multiplication,addition+multiplication,4,True,clone,multiplication,0.8469185388895462,0.296875,202.0,1500,True,True,0.8833333333333333,0.18404182930225113,275.0,True,1038.0,True
powers,addition+multiplication,addition+multiplication,5,True,clone,multiplication,0.9236181409694493,0.296875,280.0,1500,True,True,0.87,0.12152415518361465,346.0,True,1376.0,True
powers,addition+multiplication,addition+multiplication,6,True,clone,multiplication,0.8616899714585352,0.453125,326.0,1500,True,True,0.93,0.10499131854387411,321.0,True,1209.0,True
powers,addition+multiplication,addition+multiplication,7,True,clone,multiplication,0.8915001123363027,0.140625,196.0,1500,True,True,0.7766666666666666,0.29736046408062405,327.0,True,954.0,True
powers,addition+multiplication,addition+multiplication,8,True,clone,multiplication,0.8802563793985411,0.09375,233.0,1500,True,True,0.8933333333333333,0.12112214149985774,281.0,True,1288.0,True
powers,addition+multiplication,addition+multiplication,9,True,clone,multiplication,0.8808763802059532,0.28125,233.0,1500,True,True,0.9266666666666666,0.13492815225559143,269.0,True,1144.0,True
powers,addition+multiplication,addition+multiplication,10,True,clone,multiplication,0.9456998675169673,0.25,196.0,1500,True,True,0.8833333333333333,0.19517693523142296,302.0,True,1162.0,True
powers,addition+multiplication,addition+multiplication,11,True,clone,multiplication,0.9096044802898048,0.390625,260.0,1500,True,True,0.9266666666666666,0.10645900685796657,306.0,True,1396.0,True
powers,addition+multiplication,addition+multiplication,12,True,clone,multiplication,0.9041551847893832,0.390625,193.0,1500,True,True,0.88,0.18859313651375798,342.0,True,1223.0,True
powers,addition+multiplication,addition+multiplication,13,True,clone,multiplication,0.8547254331445673,0.203125,181.0,1500,True,True,0.81,0.23223664381498377,291.0,True,1192.0,True
powers,addition+multiplication,addition+multiplication,14,True,clone,multiplication,0.8524088671466697,0.09375,191.0,1500,True,True,0.8666666666666667,0.1481106043154676,299.0,True,1461.0,True
